source_id,hip
5891222029381679360,70361
6635963620399618560,90843
6459347555797428608,105830
5916126650614002944,84834
5868144620354930048,68934
6411547318571790592,109792
4909412537206792064,6375
5891946641909755392,69898
6503870561177430912,112606
5258488100152834944,49474
5916110437129136128,85050
5871297641753972096,68344
5351562962015250816,51801
6072134092057160448,59383
6062573288712789376,66022
6456829742889689088,103750
5835712119767853440,78443
5835852376226476032,77786
5258872826135586176,49606
5350977643913585280,52661
4727405051702375296,14227
6060376601912152576,63438
5891586620563543296,71013
4728016861203431296,12997
5486275672110290432,36441
5486710017860533376,35374
6071651681326039936,60639
6062644310287893632,65966
5892175855717936128,69749
5315716237254622208,40495
6063208119237340160,64667
5883029190270021248,75843
5928103154075324288,80976
4682867168555426944,18802
4763934538828793600,23679
5892180528642780416,69883
6456823077100319744,104152
6448422327228203776,96935
5306936293321337088,46815
5304687654602821760,44242
4682863148465721728,18592
5922254130148225536,85256
5339987642904577408,54790
6063546322132150400,65391
5883261496458682112,75523
5351240324109457664,52358
5922256432250408832,85164
6072427077542735232,59318
4719094015106999552,8236
5304693186520570752,44275
6459876042933343744,106237
6072437935220930560,59603
5352559222671490688,53136
6637639821577682944,92021
6493480588612062720,113351
5895287542360443648,69153
5895243527533016832,69330
5304003758373331328,44839
5920058027459089024,87648
6072430616595559296,59434
6072583272595523200,60243
6495033064670055552,117757
6457316689102273152,103290
5304063028924783744,44572
5343610331876174336,57950
6504237798061595136,112315
4740123068340932992,12651
5881187886233285760,73580
5881221352650472448,73371
5352634539215366656,53108
5351930714313932288,51252
4738836021261267840,12307
6493911047412415616,113863
6071947793548611456,60824
6412627829264501376,109097
5484782569679544320,32127
5487041761134900224,35238
5341005382674065152,53935
5316086257272710528,41954
6072656669316458112,60308
5351386146839436032,52337
6073253257447679488,61928
4763663371773393664,24509
4729896201453276800,16990
4739466488100866432,10859
5499029152295754112,28950
5893134251920580352,72402
5295667879671089536,38131
4919954517254988032,1613
6493857721100148224,114086
5259872694521998464,49318
6064319519330312832,67096
5931613413731101952,79382
5881329139154281984,73920
5316688377342006912,43513
5919845443764815232,86076
5499229332131673984,29039
4913680394669926144,5843
5886636172537543040,74742
6505879055387073792,112676
6463241922903614976,105629
6469115887679970048,101538
6640266284273875584,95866
4923013839640263424,1483
6508151475340026368,110013
5923397106863054336,84257
5310899620429252608,44809
6496938896278382464,117369
4742754440184171776,10547
6065275853909932160,66366
4912334832955579904,7429
5488139241240403200,37533
5919887706244267264,86200
6075859409246214912,59340
5917680230518791168,83201
6460359347013521536,106130
6073064656843894016,60586
5896448798417777664,68896
5931729858904118400,79842
5923507229814996352,84232
6064949367674818304,67284
6065382192989397888,66642
5885372146470775424,76357
4768323544433379712,26462
6065381024758288128,66821
5893857318236883968,72519
6067091456842536064,65702
6650873444747446656,91771
5929867045615241856,82340
6641904487879804928,96781
6506372774764790016,112483
6470173416004554624,103536
6508631171647553280,110036
6472658277923159680,100488
4743093055406210432,11263
6464215849687596288,104308
6067118875914135296,65694
4914922499211626624,4940
5896768893727236864,69098
4914806157137637632,5622
5308308827443405184,48702
5932760994539900544,78660
4768024481565605376,27335
5935765891138203136,83054
5491413934762911360,34289
6065716551911967488,66371
5498367796051848960,32634
4732655322803848448,16694
4915195521693272320,5895
6701388925940728576,88373
5498269454184344576,31746
5348073077764084992,56071
5887842783491944576,73738
6074840230678569216,62675
6077697723964060672,61008
5491660599027293440,35131
5887273030325868928,75173
5311530155998692608,45235
6125002184524065792,58820
6644585543905342720,94697
6067992334818940032,64053
6463748969563201152,105319
6476461041966924160,103368
6501091442459104896,115961
6644606950022464640,94858
5924031078391130752,84148
6462065170584323712,106547
5489469792049248000,38336
4743954282248566784,10075
5347762019049981312,54293
5321107348930147328,41625
4777732138446763136,21427
6512505884983620352,112913
4922161511970741760,3537
4768170579173552896,27244
5897077199346464000,70207
6068918020529092224,65952
4771157810531036928,24485
5931034074163313920,81240
5311742670970115328,45063
5921990900193462912,86249
5930862619057850880,82208
5309176239030829056,47172
4916002906825472768,7121
6654395421010025856,91062
6651580980479806592,92368
