id,name,x,y,z,vx,vy,vz,mag,ci,dist
13640,,32.680386,31.592884,6.325568,-0.00002779,0.00003078,-0.00001014,9.93,1.055,45.8926
13644,GJ 9106,31.270613,30.250402,10.777605,0.00001738,-0.0000081,-0.0000145,9.03,0.81,44.8229
13645,,30.55319,29.564056,6.264101,0.0000129,0.00003272,-0.00001388,5.97,0.478,42.9738
13647,,34.69754,33.575892,-10.128366,-0.00004473,0.00004227,-0.00001312,10.2,1.062,49.334
13667,Azha,29.694338,28.782724,-6.474577,-0.00003045,-0.00000754,-0.00004094,3.89,1.088,41.8585
13668,46Rho3Ari,24.135326,23.396093,10.936801,-0.00001474,0.00005283,-0.00003091,5.58,0.471,35.3482
13680,Gl 119A,18.371211,17.829989,37.1624,-0.00002136,0.00020276,0.00000842,10.73,1.405,45.1264
13684,,28.534788,27.708092,-16.320704,-0.00001933,0.00003022,0.00001751,8.57,0.781,42.9923
13716,,28.532284,27.797477,7.140123,0.00001033,-0.00000683,-0.00001469,7.9,0.604,40.4694
13720,,15.014121,14.632389,-31.307769,0.0000102,0.00000061,0.00000518,8.99,0.876,37.679
13735,Gl 120.1C,16.915907,16.510396,-11.009949,0.0000303,0.0000323,-0.00002515,7.84,0.96,26.0756
13738,Gl 120.1A,14.573986,14.227768,-9.484275,0.00003006,0.00003394,-0.00002549,7.33,0.863,22.4669
13739,,33.232093,32.443806,1.530395,-0.00001289,0.00001867,-0.00002272,7.56,0.577,46.4684
13748,4    Eri,31.186144,30.485422,-19.291378,0.0000006,0.00003339,-0.00001957,5.44,0.238,47.6872
13751,,14.900697,14.576309,27.142969,-0.00001756,0.00007421,0.00001144,9.33,0.809,34.2231
13756,,21.649203,21.19196,-14.951857,-0.00001974,0.00002068,0.00000073,10.33,1.233,33.7838
13772,,24.290519,23.823996,19.376456,-0.00002201,0.00002862,-0.0000076,8.92,0.855,39.1543
13800,47    Ari,22.126017,21.759698,11.707032,-0.00000609,0.00004696,0.00000535,5.8,0.415,33.1675
13807,,22.870271,22.504648,-23.804659,-0.0000043,0.00003654,0.00003041,10.53,1.121,39.9521
13813,Acamar,26.85749,26.453029,-31.974932,0.00001851,0.00000023,-0.00000324,2.88,0.128,49.4315
13841,,23.38224,23.119318,23.50695,0.00002026,0.00001345,-0.00003337,9.48,1.05,40.4204
13852,,13.90068,13.758029,-27.729455,0.00000136,0.00001808,0.00000965,10.31,1.364,33.9328
13857,,18.604052,18.42211,13.210496,0.00001715,0.00001377,0.00003089,8.21,0.871,29.3255
13868,,20.839206,20.655343,-28.086606,-0.00002321,-0.00000879,-0.00002369,7.39,0.59,40.6174
13901,,13.534137,13.479621,-39.588595,0.00003971,0.00001173,0.00001757,10.59,0.97,43.956
13908,Zet For,20.891382,20.819137,-13.925384,-0.00000248,0.0000381,0.00000294,5.69,0.427,32.6158
13942,,17.085459,17.09245,3.288936,-0.0000278,0.00002735,0.0000023,7.97,0.926,24.3902
13967,,30.456461,30.532448,-6.861237,-0.00004438,0.00004029,-0.00001776,8.94,0.902,43.6681
13973,,25.914101,25.988522,-28.115178,0.00000012,0.00000524,0.00000496,8.48,0.677,46.2321
13989,,21.823784,21.938664,3.244823,-0.0000257,0.00012347,-0.00001666,8.11,0.838,31.1139
14052,Eps For,19.941096,20.226305,-15.1606,-0.00002677,0.00003575,-0.00008156,5.88,0.794,32.1958
14067,,6.331435,6.434849,-2.690055,0.00000897,-0.0000144,-0.00001332,10.4,,9.4197
14090,,23.591049,24.038839,-3.834205,0.00000007,0.00001897,-0.00002532,6.2,0.598,33.8983
14101,,25.10218,25.606642,31.608948,-0.00001233,-0.00001107,0.00001877,7.96,0.529,47.8011
14103,,13.171745,13.437374,16.583839,-0.00000636,-0.00000356,0.00000793,9.73,0.788,25.0815
14112,11Tau3Eri,17.419759,17.787178,-10.889644,0.00000525,-0.00002212,-0.00000271,4.08,0.163,27.1739
14116,Gl 120.2,12.909469,13.186603,9.244673,-0.00000533,0.00002805,-0.00001065,6.62,0.696,20.6398
14131,Gl 121.1,13.001051,13.303406,-6.10368,-0.00002385,0.00003006,0.00001472,11.77,1.501,19.5771
14147,,22.90027,23.481366,35.309334,-0.00000394,0.00001827,-0.0000096,6.72,0.596,48.1928
14148,,17.713898,18.163997,32.768018,0.00000212,-0.00003396,0.00001767,9.21,1.042,41.4422
